Team,Algeria,Argentina,Australia,Brazil,Cameroon,Chile,Denmark,England,France,Germany,Ghana,Greece,Honduras,Italy,Ivory Coast,Japan,Mexico,Netherlands,New Zealand,Nigeria,North Korea,Paraguay,Portugal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,USA,Uruguay
Games Played,3,5,3,5,3,4,3,4,3,6,5,3,3,3,3,4,4,6,3,3,3,5,4,3,4,3,3,4,6,3,4,6
Goals,0,10,3,9,2,3,3,3,1,13,5,2,0,4,4,4,4,12,2,3,1,3,7,2,5,3,3,6,7,1,5,9
Ave Goals per game,0.00,2.00,1.00,1.80,0.67,0.75,1.00,0.75,0.33,2.17,1.00,0.67,0.00,1.33,1.33,1.00,1.00,2.00,0.67,1.00,0.33,0.60,1.75,0.67,1.25,1.00,1.00,1.50,1.17,0.33,1.25,1.50
Shots (excl blocked shots),31,69,29,71,35,45,32,49,29,66,75,32,13,36,39,38,43,67,15,29,32,49,50,38,35,17,35,44,82,21,55,70
% Shots on Target,19%,57%,45%,44%,34%,31%,44%,53%,34%,45%,25%,50%,15%,44%,38%,39%,33%,58%,20%,24%,28%,41%,36%,24%,29%,59%,40%,41%,38%,33%,44%,49%
% Goals to Shots,0%,14%,10%,13%,6%,7%,9%,6%,3%,20%,7%,6%,0%,11%,10%,11%,9%,18%,13%,10%,3%,6%,14%,5%,14%,18%,9%,14%,9%,5%,9%,13%
Overall Pass Completion %,80%,86%,81%,85%,83%,79%,81%,78%,82%,84%,79%,79%,71%,76%,86%,71%,83%,84%,70%,77%,75%,72%,80%,85%,78%,76%,84%,76%,87%,74%,74%,72%
Cross Completion %,24%,24%,27%,20%,23%,15%,26%,21%,18%,18%,20%,14%,19%,19%,31%,20%,19%,16%,31%,14%,23%,29%,18%,30%,12%,14%,18%,18%,21%,27%,26%,17%
Goals Conceded,2,6,6,4,5,5,6,5,4,3,4,5,3,5,3,2,5,5,2,5,12,2,1,3,7,3,5,8,2,1,5,5
Ave goals conceded per game,0.67,1.20,2.00,0.80,1.67,1.25,2.00,1.25,1.33,0.50,0.80,1.67,1.00,1.67,1.00,0.50,1.25,0.83,0.67,1.67,4.00,0.40,0.25,1.00,1.75,1.00,1.67,2.00,0.33,0.33,1.25,0.83
Tackles Won %,80%,76%,84%,71%,70%,77%,85%,73%,75%,76%,83%,76%,77%,83%,76%,71%,79%,75%,67%,89%,82%,70%,74%,73%,78%,76%,68%,76%,80%,66%,72%,71%
Fouls,51,65,60,77,56,80,56,52,53,64,91,39,52,44,55,69,83,98,60,44,27,95,60,30,69,46,42,57,63,55,53,86
Yellow Cards,4,7,7,7,5,13,6,6,6,8,11,5,7,5,5,7,9,15,6,5,2,9,8,8,11,9,4,6,3,8,9,8
Red Cards,2,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,2